"SYSTEM","RANK","FAMILY","NAME","SPECIES","AUTHORITY","FOREWING_LB","FOREWING_MED","FOREWING_UB","PRED_DRY_MASS","log_DRY_MASS","SE"
4509,"Subspecies","Geometridae","Chesias rufata scotica","Chesias rufata","(Richardson, 1952)",14,15,16,9.70650576760444,2.27279635838334,0.0921298103128476
4511,"Species","Geometridae","Lithostege griseata","Lithostege griseata","([Denis & Schiffermüller], 1775)",14,15,16,9.70650576760444,2.27279635838334,0.0921298103128476
4516,"Subspecies","Geometridae","Mesotype didymata didymata","Mesotype didymata","(Linnaeus, 1758)",11,13,15,6.72514201165984,1.90585304224038,0.0920576054874639
4518,"Subspecies","Geometridae","Mesotype didymata hethlandica","Mesotype didymata","(Rebel, 1910)",11,13,15,6.72514201165984,1.90585304224038,0.0920576054874639
4520,"Species","Geometridae","Perizoma affinitata","Perizoma affinitata","(Stephens, 1831)",12,13.5,15,7.40849919663386,2.00262788122821,0.0905276365771083
4522,"Species","Geometridae","Perizoma alchemillata","Perizoma alchemillata","(Linnaeus, 1758)",9,10,11,3.43182097903618,1.23309101797972,0.1265603994919
4524,"Species","Geometridae","Perizoma bifaciata","Perizoma bifaciata","(Haworth, 1809)",9,10,11,3.43182097903618,1.23309101797972,0.1265603994919
4527,"Subspecies","Geometridae","Perizoma minorata minorata","Perizoma minorata","(Treitschke, 1828)",8,9,10,2.61934042743124,0.962922540824597,0.147657259753383
4529,"Subspecies","Geometridae","Perizoma minorata ericetata","Perizoma minorata","(Stephens, 1831)",8,9,10,2.61934042743124,0.962922540824597,0.147657259753383
4531,"Subspecies","Geometridae","Perizoma blandiata blandiata","Perizoma blandiata","([Denis & Schiffermüller], 1775)",9,10,11,3.43182097903618,1.23309101797972,0.1265603994919
4534,"Subspecies","Geometridae","Perizoma blandiata perfasciata","Perizoma blandiata","(Prout, 1914)",9,10,11,3.43182097903618,1.23309101797972,0.1265603994919
4535,"Subspecies","Geometridae","Perizoma albulata albulata","Perizoma albulata","([Denis & Schiffermüller], 1775)",10,11,12,4.38192503559109,1.47748813367667,0.1102033245002
4537,"Subspecies","Geometridae","Perizoma albulata subfasciaria","Perizoma albulata","(Boheman, 1853)",10,11,12,4.38192503559109,1.47748813367667,0.1102033245002
4538,"Species","Geometridae","Perizoma flavofasciata","Perizoma flavofasciata","(Thunberg, 1792)",11,12.5,14,6.08168719611755,1.80528215684369,0.0947609039546352
4542,"Species","Geometridae","Martania taeniata","Martania taeniata","(Stephens, 1831)",11,11.5,12,4.91097564155,1.59147262706721,0.103829145927489
4545,"Species","Geometridae","Gagitodes sagittata","Gagitodes sagittata","(Fabricius, 1787)",13,15,17,9.70650576760444,2.27279635838334,0.0921298103128476
4549,"Species","Geometridae","Gymnoscelis rufifasciata","Gymnoscelis rufifasciata","(Haworth, 1809)",8,9,10,2.61934042743124,0.962922540824597,0.147657259753383
4553,"Species","Geometridae","Chloroclystis v-ata","Chloroclystis v-ata","(Haworth, 1809)",8,9.5,11,3.00886602264599,1.10156327111524,0.136516179856784
4557,"Species","Geometridae","Pasiphila chloerata","Pasiphila chloerata","(Mabille, 1870)",9,9.5,10,3.00886602264599,1.10156327111524,0.136516179856784
4559,"Species","Geometridae","Pasiphila rectangulata","Pasiphila rectangulata","(Linnaeus, 1758)",8,9.5,11,3.00886602264599,1.10156327111524,0.136516179856784
4561,"Species","Geometridae","Pasiphila debiliata","Pasiphila debiliata","(Hübner, [1817])",9,10,11,3.43182097903618,1.23309101797972,0.1265603994919
4565,"Species","Geometridae","Eupithecia haworthiata","Eupithecia haworthiata","Doubleday, 1856",8,8.5,9,2.26223957562422,0.816355285270412,0.160005984795754
4568,"Species","Geometridae","Eupithecia tenuiata","Eupithecia tenuiata","(Hübner, [1813])",8,9,10,2.61934042743124,0.962922540824597,0.147657259753383
4570,"Species","Geometridae","Eupithecia inturbata","Eupithecia inturbata","(Hübner, [1817])",8,9,10,2.61934042743124,0.962922540824597,0.147657259753383
4573,"Species","Geometridae","Eupithecia abietaria","Eupithecia abietaria","(Goeze, 1781)",11,13,15,6.72514201165984,1.90585304224038,0.0920576054874639
