"edv_code","species","family","individuals_measured","sex_measured","saproxylic_beetle_europe","saproxylic_beetle_germany","rl_cat_germany","rl_population_current_germnany","sexual_dimorphism_regarding_13_traits_extinction_risk_analyses","sexual_dimorphism_comment","sexual_dimorphism_other_morphological_charact","mean_body_length_literature","colour_lightness","mass","body_length","body_width","body_height","body_roundness","head_length","head_width","pronotum_length","pronotum_width","elytra_length","elytra_width","wing_length","wing_width","wing_area","wing_aspect","wing_load","antenna_length","mandible_length","proximal_mandible_width","mandible_aspect","eye_length","eye_area","front_femur_length","front_femur_width","front_tibia_length","mid_femur_length","mid_femur_width","mid_tibia_length","hind_femur_length","hind_femur_width","hind_tibia_length","hairiness_head_dorsal","hairiness_pronotum_dorsal","hairiness_abdomen_dorsal","hairiness_abdomen_ventral","hairiness_total","residuals_body_width","residuals_head_length","residuals_wing_length","residuals_wing_load","residuals_front_femur_length","residuals_antenna_length","residuals_eye_length"
"41","18-.005-.020-.","Neuraphes_parallelus","Staphylinidae",1,NA,1,0,"R","es",0,"","",1.55,NA,0.059,1.028,0.436,0.357,0.819,0.219,0.221,0.278,0.246,0.668,0.247,1.568,0.574,0.592,2.732,0.1,0.476,0.079,0.027,0.342,0.085,0.003,0.181,0.079,0.252,0.242,0.078,0.287,0.236,0.066,0.295,59.524,73.171,64.777,96.447,73.48,-0.097,0.053,0.139,0.084,-0.198,0.312,0.019
"42","18-.006-.004-.","Scydmoraphes_minutus","Staphylinidae",1,NA,1,1,"G","s",0,"","",1.125,108.28,0.03,1.757,0.79,0.62,0.785,0.302,0.341,0.456,0.414,1.05,0.349,2.184,0.78,1.079,2.8,0.028,0.751,0.15,0.043,0.287,0.138,0.012,0.373,0.109,0.393,0.367,0.106,0.418,0.393,0.103,0.457,61.404,62.201,49.275,35.714,52.149,0.017,-0.118,0.012,-1.719,0.037,0.285,0.056
"43","18-.007-.005-.","Stenichnus_godarti","Staphylinidae",1,NA,1,1,"*","h",0,"","male: front femur swelled",1.875,130.04,0.008,1.441,0.348,0.165,0.474,0.181,0.17,0.179,0.221,NA,NA,1.144,0.374,0.389,3.059,0.021,NA,NA,NA,NA,0.063,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.037,0,NA,27.027,21.355,-0.625,-0.448,-0.465,-1.826,NA,NA,-0.562
"44","18-.007-.010-.","Stenichnus_bicolor","Staphylinidae",3,NA,1,1,"*","h",0,"","male: apex of front femur concave",1.3,100.86,0.106,1.605,0.6,0.442,0.736,0.285,0.303,0.395,0.4,1.007,0.339,1.964,0.626,0.996,3.139,0.106,0.607,0.138,0.069,0.499,0.101,0.009,0.341,0.097,0.285,0.395,0.101,0.355,0.363,0.089,0.375,59.347,43.919,34.637,53.806,47.927,-0.176,-0.092,-0.017,-0.29,0.029,0.154,-0.177
"45","18-.008-.001-.","Microscydmus_nanus","Staphylinidae",2,NA,1,0,"*","h",0,"","",0.8,139.64,0.022,1.533,0.567,0.504,0.89,0.28,0.289,0.355,0.358,0.801,0.285,1.805,0.52,0.601,3.474,0.037,0.555,0.115,0.059,0.509,0.122,0.009,0.306,0.093,0.25,0.323,0.087,0.296,0.304,0.091,0.28,71.429,58.496,44.563,53.364,56.963,-0.193,-0.07,-0.062,-1.309,-0.037,0.105,0.047
"46","18-.008-.002-.","Microscydmus_minimus","Staphylinidae",2,NA,1,1,"*","mh",0,"","",0.75,106.31,0.052,0.818,0.31,0.238,0.767,0.178,0.179,0.194,0.212,0.519,0.175,NA,NA,NA,NA,NA,0.284,0.084,0.034,0.405,0.069,0.003,0.195,0.054,0.178,0.202,0.054,0.187,0.205,0.05,0.192,121.019,130.841,56.667,93.103,100.408,-0.234,0.055,NA,NA,0.085,0.002,-0.005
"47","18-.009-.015-.","Euconnus_pragensis","Staphylinidae",1,NA,1,1,"G","s",0,"","",1,132.13,0.2,1.603,0.679,0.545,0.803,0.297,0.33,0.328,0.388,0.92,0.354,2.2,0.801,1.255,2.747,0.159,0.646,0.101,0.062,0.614,0.155,0.013,0.386,0.121,0.307,0.457,0.103,0.347,0.346,0.086,0.375,37.313,53.763,33.951,32.491,39.38,-0.052,-0.051,0.097,0.117,0.155,0.217,0.249
"48","18-.010-.003-.","Scydmaenus_perrisi","Staphylinidae",1,NA,1,1,"G","s",0,"","",1,NA,NA,1.829,1.01,0.735,0.728,0.367,0.317,0.5,0.411,1.023,0.509,NA,NA,NA,NA,NA,1.073,0.175,0.053,0.303,0.094,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.172,53.398,27.505,NA,45.358,0.227,0.04,NA,NA,NA,0.606,-0.361
"49","18-.010-.004-.","Scydmaenus_hellwigii","Staphylinidae",3,"both",1,1,"G","s",1,"male: head much larger (wider) than in female","",1,119.09,0.245,1.816,0.683,0.577,0.845,0.411,0.379,0.461,0.399,0.924,0.349,2.837,0.973,1.88,2.917,0.13,0.875,0.161,0.06,0.374,0.088,0.005,0.675,0.173,0.594,0.713,0.147,0.65,0.71,0.15,0.66,71.038,66.553,43.222,52.184,58.249,-0.159,0.161,0.245,-0.207,0.6,0.408,-0.417
"50","21-.001-.001-.","Nossidium_pilosellum","Ptiliidae",1,NA,1,1,"V","s",0,"","",1,91.54,0.135,1.175,0.714,0.523,0.732,0.212,0.382,0.377,0.595,0.826,0.299,1.131,0.465,0.501,2.432,0.269,0.479,0.12,0.068,0.567,0.107,0.005,0.232,0.101,0.208,0.283,0.102,0.254,0.219,0.072,0.263,79.268,61.372,71.233,43.796,63.917,0.277,-0.102,-0.302,0.947,-0.071,0.198,0.138
